"from_K_block","numResNetblock","model","PSKD","DML","BYOT","training_acc","training_time","val_acc_top1"
"1","4","ResNetBeMyOwnTeacher50","False","False","False","5.662","68.86164975166321","8.39"
"1","4","ResNetBeMyOwnTeacher50","True","False","False","2.638","68.92720377445221","2.82"
"1","4","ResNetBeMyOwnTeacher50","False","False","True","9.396","85.01508712768555","12.28"
"1","4","ResNetBeMyOwnTeacher50","False","True","False","5.662","68.82624197006226","8.39"
"1","4","ResNetBeMyOwnTeacher50","True","False","True","6.346","85.72275698184967","6.57"
"1","4","ResNetBeMyOwnTeacher50","False","True","True","10.654","85.80176258087158","13.33"
"1","4","ResNetBeMyOwnTeacher50","True","True","False","2.662","70.53035354614258","3.11"
"1","4","ResNetBeMyOwnTeacher50","True","True","True","4.824","86.49238228797913","5.21"
"1","4","resnext50","False","False","False","8.026","152.61603689193726","10.53"
"1","4","resnext50","True","False","False","6.564","147.37130641937256","7.35"
"1","4","resnext50","False","False","True","5.988","164.87122559547424","8.1"
"1","4","resnext50","False","True","False","9.552","145.13661015033722","12.88"
"1","4","resnext50","True","False","True","6.308","165.05044555664062","6.92"
"1","4","resnext50","False","True","True","9.984","164.18640160560608","11.77"
"1","4","resnext50","True","True","False","7.16","146.4254868030548","7.75"
"1","4","resnext50","True","True","True","6.344","165.73916041851044","7.29"
